标题,项目,用户,状态,截止,完成时间,URL
Task 0 zvwqTK2k,Project PRJ_160_HGY,user_358_CkZAE,待处理 / To Do,2026-01-20T09:23:47.740859+00:00,,
Task 2 BUoNf0ax,Project PRJ_100_ECJ,user_889_HCdmt,待评审 / In Review,2025-12-30T02:23:00+00:00,,
Task 3 90wpP8Ev,Project PRJ_146_EJS,user_872_GLKLE,已完成 / Done,2025-12-30T09:23:47.740988+00:00,,
Task 4 QDHdeE44,Project PRJ_77_HNQ,user_34_n7nCe,待处理 / To Do,2026-01-08T09:23:47.741000+00:00,,
Task 5 rLj4i5Wy,Project PRJ_118_UFN,user_973_so4KO,待处理 / To Do,2026-01-07T09:23:47.741011+00:00,,
Task 6 hnX9ZuxX,Project PRJ_184_TI9,user_491_YgvWz,待处理 / To Do,2026-01-26T09:23:47.741023+00:00,,
Task 7 u92Hsg7m,Project PRJ_184_TI9,user_132_3WvT8,待处理 / To Do,2026-01-21T09:23:47.741036+00:00,,
Task 8 N4mLBkuy,Project PRJ_100_ECJ,user_788_SuTQd,待处理 / To Do,2026-01-13T09:23:47.741044+00:00,,
Task 9 mSPtWLTn,Project PRJ_118_UFN,user_582_nND4L,待处理 / To Do,2026-01-17T09:23:47.741054+00:00,,
Task 11 8aF6FLuq,Project PRJ_115_8NB,user_292_NzeDU,待处理 / To Do,2025-12-28T09:23:47.741076+00:00,,
Task 12 Lf8t23GK,Project PRJ_102_7TL,user_108_0UUXG,待处理 / To Do,2026-01-07T09:23:47.741087+00:00,,
Task 13 0rtBiVOV,Project PRJ_92_KYR,user_417_Hhds6,待处理 / To Do,2026-01-26T09:23:47.741099+00:00,,
Task 17 qMnvlm1u,Project PRJ_86_KVK,user_879_o2df6,待处理 / To Do,2026-01-11T09:23:47.741140+00:00,,
Task 18 6WkB5sYY,Project PRJ_51_QL6,user_146_5hqlo,待处理 / To Do,2026-01-12T09:23:47.741149+00:00,,
Task 19 mQU2CCmj,Project PRJ_58_DVX,user_872_GLKLE,已完成 / Done,2026-01-12T09:23:47.741157+00:00,,
Task 20 GQc77nrE,Project PRJ_186_QFT,user_259_PP1UK,待处理 / To Do,2026-01-05T09:23:47.741165+00:00,,
Task 21 jaqDgQJB,Project PRJ_193_NPX,user_683_oTCvs,待处理 / To Do,2026-01-20T09:23:47.741173+00:00,,
Task 22 UGRUk2VV,Project PRJ_1_YOT,user_488_ZRTiB,待处理 / To Do,2026-01-04T09:23:47.741187+00:00,,
Task 23 vVD6BJFI,Project PRJ_16_IZT,user_290_xdEjS,待处理 / To Do,2025-12-30T09:23:47.741197+00:00,,
Task 24 Tntooa8S,Project PRJ_73_IBI,user_232_BiDJZ,待处理 / To Do,2026-01-04T09:23:47.741209+00:00,,
Task 25 1EAYugfl,Project PRJ_90_I9M,user_306_N8tg2,待处理 / To Do,2026-01-21T09:23:47.741222+00:00,,
Task 26 NduyzgdL,Project PRJ_37_W9S,user_395_mFTV2,已完成 / Done,2026-01-20T09:23:47.741233+00:00,,
Task 27 1oifte72,Project PRJ_184_TI9,user_947_VlrZZ,待处理 / To Do,2026-01-16T09:23:47.741244+00:00,,
Task 28 eQg36w0T,Project PRJ_134_YNF,user_535_FOOhv,已完成 / Done,2026-01-28T09:23:47.741252+00:00,,
Task 29 G8DXyWN1,Project PRJ_29_W9W,user_736_3kQ1z,待处理 / To Do,2026-01-03T09:23:47.741263+00:00,,
Task 30 fqGBOQa4,Project PRJ_41_BSG,user_555_FHlra,待处理 / To Do,2026-01-04T09:23:47.741274+00:00,,
Task 31 gOCM8K2N,Project PRJ_167_IUJ,user_461_e1aFG,待处理 / To Do,2026-01-18T09:23:47.741284+00:00,,
Task 32 e4RAVjq1,Project PRJ_102_7TL,user_727_xWPyW,待处理 / To Do,2026-01-19T09:23:47.741293+00:00,,
Task 33 oOOCqAfG,Project PRJ_192_AV2,user_907_Ul8uD,待处理 / To Do,2026-01-07T09:23:47.741302+00:00,,
Task 34 HUEJCfof,Project PRJ_117_FBU,user_329_uvRK5,待处理 / To Do,2026-01-20T09:23:47.741310+00:00,,
Task 36 r6xR8K5L,Project PRJ_68_20A,user_37_RR1iW,待处理 / To Do,2026-01-04T09:23:47.741326+00:00,,
Task 37 BsK2jUiY,Project PRJ_58_DVX,user_484_iU98L,待处理 / To Do,2026-01-21T09:23:47.741334+00:00,,
Task 38 ZOXpKY5h,Project PRJ_185_HL1,user_297_ZsFPG,已完成 / Done,2026-01-17T09:23:47.741342+00:00,,
Task 39 T61zKPPE,Project PRJ_94_AS8,user_823_o9zts,已完成 / Done,2026-01-21T09:23:47.741350+00:00,,
Task 40 rpc4IhWO,Project PRJ_154_E4E,user_984_iJVKu,已完成 / Done,2026-01-10T09:23:47.741364+00:00,,
Task 41 Sk1hZa3O,Project PRJ_184_TI9,user_369_KaRA0,待处理 / To Do,2026-01-22T09:23:47.741373+00:00,,
Task 42 WT4Rg8pP,Project PRJ_74_QNH,user_328_EYbEi,待处理 / To Do,2026-01-06T09:23:47.741380+00:00,,
Task 43 MkTCKZQc,Project PRJ_131_WQZ,user_321_AW7Gr,待处理 / To Do,2026-01-09T09:23:47.741388+00:00,,
Task 44 7VgjjOlO,Project PRJ_42_W0P,user_854_ENiiv,待处理 / To Do,2026-01-16T09:23:47.741396+00:00,,
Task 47 i1aH0JKF,Project PRJ_182_MGE,user_222_w0AkK,已完成 / Done,2026-01-22T09:23:47.741421+00:00,,
Task 48 cYFH2aJ8,Project PRJ_13_EPO,user_928_XTCV3,已完成 / Done,2026-01-08T09:23:47.741432+00:00,,
Task 49 j03TSGhr,Project PRJ_57_CU7,user_163_MoYJL,待处理 / To Do,2026-01-19T09:23:47.741442+00:00,,
Task 50 nYahybSK,Project PRJ_7_ZL8,user_345_SViwu,已完成 / Done,2026-01-19T09:23:47.741451+00:00,,
Task 51 68HYGVBZ,Project PRJ_5_8YD,user_69_VuSvq,待处理 / To Do,2026-01-04T09:23:47.741460+00:00,,
Task 52 VfzokDOp,Project PRJ_124_9RN,user_363_yPdNQ,待处理 / To Do,2026-01-19T09:23:47.741469+00:00,,
Task 53 bPc7ZChn,Project PRJ_16_IZT,user_234_ZekvW,进行中 / In Progress,2026-01-28T09:23:47.741479+00:00,,
Task 54 hkqypkB2,Project PRJ_125_YRS,user_78_GYp4M,进行中 / In Progress,2026-01-26T09:23:47.741488+00:00,,
Task 55 419h0hDm,Project PRJ_15_FJI,user_328_EYbEi,待处理 / To Do,2026-01-20T09:23:47.741499+00:00,,
Task 56 40lO8uuY,Project PRJ_4_NHA,user_717_UowbN,待处理 / To Do,2026-01-06T09:23:47.741508+00:00,,
Task 57 84dblrFU,Project PRJ_185_HL1,user_531_PaXBV,待处理 / To Do,2026-01-23T09:23:47.741516+00:00,,
Task 58 pm6c95hf,Project PRJ_57_CU7,user_908_tX6JE,待处理 / To Do,2026-01-10T09:23:47.741523+00:00,,
Task 60 gyrX5ShR,Project PRJ_185_HL1,user_842_C2zjO,待处理 / To Do,2026-01-16T09:23:47.741538+00:00,,
Task 61 Y47yhNmR,Project PRJ_17_WC7,user_123_GeMaP,待处理 / To Do,2025-12-31T09:23:47.741546+00:00,,
Task 63 hGUe5lLQ,Project PRJ_109_9LQ,user_81_lUUqX,待处理 / To Do,2025-12-27T09:23:47.741564+00:00,,
Task 64 d5vBACXv,Project PRJ_115_8NB,user_375_Rg9de,待处理 / To Do,2025-12-27T09:23:47.741575+00:00,,
Task 65 fgSS8mam,Project PRJ_20_NGL,user_524_oVVHe,待处理 / To Do,2026-01-22T09:23:47.741586+00:00,,
Task 66 Js6tXV01,Project PRJ_184_TI9,user_209_6L7IK,阻塞中 / Blocked,2026-01-25T09:23:47.741596+00:00,,
Task 67 eW46Soc8,Project PRJ_143_QL6,user_703_syTWr,待处理 / To Do,2026-01-21T09:23:47.741606+00:00,,
Task 68 6Ses9DJD,Project PRJ_128_05J,user_551_p88Ej,待处理 / To Do,2026-01-17T09:23:47.741614+00:00,,
Task 69 gtina8Be,Project PRJ_117_FBU,user_255_MNWS6,待处理 / To Do,2026-01-09T09:23:47.741622+00:00,,
Task 70 4gRFwZk4,Project PRJ_25_XDR,user_442_AMdiw,待处理 / To Do,2026-01-14T09:23:47.741629+00:00,,
Task 72 cXopsHcj,Project PRJ_100_ECJ,user_531_PaXBV,待处理 / To Do,2026-01-16T09:23:47.741646+00:00,,
Task 73 JJcm2Egg,Project PRJ_37_W9S,user_957_QwhGN,待处理 / To Do,2026-01-10T09:23:47.741656+00:00,,
Task 74 ImHZ861T,Project PRJ_88_5S0,user_698_poEYD,待处理 / To Do,2026-01-23T09:23:47.741666+00:00,,
Task 75 yKjzugp1,Project PRJ_4_NHA,user_364_qUtdi,待处理 / To Do,2026-01-05T09:23:47.741675+00:00,,
Task 76 etP0WvYM,Project PRJ_76_NK7,user_273_F8QNd,待处理 / To Do,2026-01-06T09:23:47.741684+00:00,,
Task 77 eGnI3Bfd,Project PRJ_0_9CW,user_699_au4FC,待处理 / To Do,2026-01-22T09:23:47.741695+00:00,,
Task 78 1TRBJ27h,Project PRJ_56_GF4,user_597_EKiNi,待处理 / To Do,2026-01-11T09:23:47.741703+00:00,,
Task 80 ASfWA7MB,Project PRJ_144_JTI,user_244_SL29e,待处理 / To Do,2026-01-03T09:23:47.741721+00:00,,
Task 81 HKx1OzTg,Project PRJ_53_OPN,user_743_hZJLA,待处理 / To Do,2025-12-28T09:23:47.741729+00:00,,
Task 82 0DIudizn,Project PRJ_20_NGL,user_690_tEcf3,待处理 / To Do,2026-01-06T09:23:47.741738+00:00,,
Task 83 3GnQTlzE,Project PRJ_169_MJY,user_958_rryAG,待处理 / To Do,2026-01-15T09:23:47.741748+00:00,,
Task 84 FjqbEhPK,Project PRJ_181_F4G,user_148_vf49t,待处理 / To Do,2026-01-18T09:23:47.741758+00:00,,
Task 85 eKumj85w,Project PRJ_79_IHT,user_301_4xD74,已完成 / Done,2026-01-13T09:23:47.741769+00:00,,
Task 86 ZpDF86Xn,Project PRJ_90_I9M,user_322_huLGG,待处理 / To Do,2026-01-24T09:23:47.741779+00:00,,
Task 87 yO3FSMec,Project PRJ_60_YMQ,user_555_FHlra,进行中 / In Progress,2026-01-24T09:23:47.741789+00:00,,
Task 88 q2OKYNpf,Project PRJ_74_QNH,user_631_3xT4k,待处理 / To Do,2026-01-21T09:23:47.741800+00:00,,
Task 89 AFW0uJcU,Project PRJ_103_M7T,user_379_AalX0,已完成 / Done,2026-01-10T09:23:47.741807+00:00,,
Task 90 u5Eq2VpJ,Project PRJ_25_XDR,user_389_mGXI6,待处理 / To Do,2026-01-19T09:23:47.741815+00:00,,
Task 91 JPf1CFY0,Project PRJ_38_W0C,user_630_bkK7G,待处理 / To Do,2026-01-17T09:23:47.741822+00:00,,
Task 92 mXSuPUb4,Project PRJ_16_IZT,user_611_YpYiS,待处理 / To Do,2026-01-20T09:23:47.741830+00:00,,
Task 93 FnvLButj,Project PRJ_106_ZUY,user_975_G2TcP,待处理 / To Do,2026-01-25T09:23:47.741837+00:00,,
Task 94 W4X1zITd,Project PRJ_166_IFT,user_825_5wzDw,待处理 / To Do,2026-01-18T09:23:47.741845+00:00,,
Task 95 S7oSWAPm,Project PRJ_152_N4S,user_246_ZuOZ6,待处理 / To Do,2026-01-13T09:23:47.741853+00:00,,
Task 96 PjV4mtkp,Project PRJ_167_IUJ,user_934_79AmK,待处理 / To Do,2026-01-07T09:23:47.741860+00:00,,
Task 97 Imt2crJ3,Project PRJ_148_SUC,user_549_iVWQy,待处理 / To Do,2026-01-07T09:23:47.741868+00:00,,
Task 98 VBJvWyc2,Project PRJ_24_4Z0,user_623_PtZZy,待处理 / To Do,2026-01-05T09:23:47.741875+00:00,,
Task 99 D7AcHRyC,Project PRJ_128_05J,user_262_nEEpU,待处理 / To Do,2026-01-21T09:23:47.741882+00:00,,
Task 100 sVWJWUia,Project PRJ_111_HJT,user_995_swNWt,待处理 / To Do,2026-01-17T09:23:47.741890+00:00,,
Task 101 vFWgSdiv,Project PRJ_70_USE,user_616_RMzVW,待处理 / To Do,2026-01-18T09:23:47.741898+00:00,,
Task 102 VFcG6OCB,Project PRJ_125_YRS,user_663_DWcrQ,已完成 / Done,2026-01-19T09:23:47.741905+00:00,,
