ID,标题,项目,负责人,协作人,状态,优先级,截止时间,完成时间,创建时间,URL,内容
1,Task 0 zvwqTK2k,Project PRJ_160_HGY,user_358_CkZAE,,待处理 / To Do,中 / Medium,2026-01-20 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
3,Task 2 BUoNf0ax,Project PRJ_100_ECJ,user_889_HCdmt,,待评审 / In Review,中 / Medium,2025-12-30 02:23:00,,2026-01-28 01:03:58,,Auto generated task content.
4,Task 3 90wpP8Ev,Project PRJ_146_EJS,user_872_GLKLE,,已完成 / Done,中 / Medium,2025-12-30 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
5,Task 4 QDHdeE44,Project PRJ_77_HNQ,user_34_n7nCe,,待处理 / To Do,中 / Medium,2026-01-08 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
6,Task 5 rLj4i5Wy,Project PRJ_118_UFN,user_973_so4KO,,待处理 / To Do,中 / Medium,2026-01-07 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
7,Task 6 hnX9ZuxX,Project PRJ_184_TI9,user_491_YgvWz,,待处理 / To Do,中 / Medium,2026-01-26 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
8,Task 7 u92Hsg7m,Project PRJ_184_TI9,user_132_3WvT8,,待处理 / To Do,中 / Medium,2026-01-21 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
9,Task 8 N4mLBkuy,Project PRJ_100_ECJ,user_788_SuTQd,,待处理 / To Do,中 / Medium,2026-01-13 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
10,Task 9 mSPtWLTn,Project PRJ_118_UFN,user_582_nND4L,,待处理 / To Do,中 / Medium,2026-01-17 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
12,Task 11 8aF6FLuq,Project PRJ_115_8NB,user_292_NzeDU,,待处理 / To Do,中 / Medium,2025-12-28 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
13,Task 12 Lf8t23GK,Project PRJ_102_7TL,user_108_0UUXG,,待处理 / To Do,中 / Medium,2026-01-07 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
14,Task 13 0rtBiVOV,Project PRJ_92_KYR,user_417_Hhds6,,待处理 / To Do,中 / Medium,2026-01-26 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
18,Task 17 qMnvlm1u,Project PRJ_86_KVK,user_879_o2df6,,待处理 / To Do,中 / Medium,2026-01-11 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
19,Task 18 6WkB5sYY,Project PRJ_51_QL6,user_146_5hqlo,,待处理 / To Do,中 / Medium,2026-01-12 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
20,Task 19 mQU2CCmj,Project PRJ_58_DVX,user_872_GLKLE,,已完成 / Done,中 / Medium,2026-01-12 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
21,Task 20 GQc77nrE,Project PRJ_186_QFT,user_259_PP1UK,,待处理 / To Do,中 / Medium,2026-01-05 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
22,Task 21 jaqDgQJB,Project PRJ_193_NPX,user_683_oTCvs,,待处理 / To Do,中 / Medium,2026-01-20 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
23,Task 22 UGRUk2VV,Project PRJ_1_YOT,user_488_ZRTiB,,待处理 / To Do,中 / Medium,2026-01-04 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
24,Task 23 vVD6BJFI,Project PRJ_16_IZT,user_290_xdEjS,,待处理 / To Do,中 / Medium,2025-12-30 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
25,Task 24 Tntooa8S,Project PRJ_73_IBI,user_232_BiDJZ,,待处理 / To Do,中 / Medium,2026-01-04 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
26,Task 25 1EAYugfl,Project PRJ_90_I9M,user_306_N8tg2,,待处理 / To Do,中 / Medium,2026-01-21 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
27,Task 26 NduyzgdL,Project PRJ_37_W9S,user_395_mFTV2,,已完成 / Done,中 / Medium,2026-01-20 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
28,Task 27 1oifte72,Project PRJ_184_TI9,user_947_VlrZZ,,待处理 / To Do,中 / Medium,2026-01-16 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
29,Task 28 eQg36w0T,Project PRJ_134_YNF,user_535_FOOhv,,已完成 / Done,中 / Medium,2026-01-28 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
30,Task 29 G8DXyWN1,Project PRJ_29_W9W,user_736_3kQ1z,,待处理 / To Do,中 / Medium,2026-01-03 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
31,Task 30 fqGBOQa4,Project PRJ_41_BSG,user_555_FHlra,,待处理 / To Do,中 / Medium,2026-01-04 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
32,Task 31 gOCM8K2N,Project PRJ_167_IUJ,user_461_e1aFG,,待处理 / To Do,中 / Medium,2026-01-18 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
33,Task 32 e4RAVjq1,Project PRJ_102_7TL,user_727_xWPyW,,待处理 / To Do,中 / Medium,2026-01-19 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
34,Task 33 oOOCqAfG,Project PRJ_192_AV2,user_907_Ul8uD,,待处理 / To Do,中 / Medium,2026-01-07 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
35,Task 34 HUEJCfof,Project PRJ_117_FBU,user_329_uvRK5,,待处理 / To Do,中 / Medium,2026-01-20 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
37,Task 36 r6xR8K5L,Project PRJ_68_20A,user_37_RR1iW,,待处理 / To Do,中 / Medium,2026-01-04 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
38,Task 37 BsK2jUiY,Project PRJ_58_DVX,user_484_iU98L,,待处理 / To Do,中 / Medium,2026-01-21 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
39,Task 38 ZOXpKY5h,Project PRJ_185_HL1,user_297_ZsFPG,,已完成 / Done,中 / Medium,2026-01-17 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
40,Task 39 T61zKPPE,Project PRJ_94_AS8,user_823_o9zts,,已完成 / Done,中 / Medium,2026-01-21 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
41,Task 40 rpc4IhWO,Project PRJ_154_E4E,user_984_iJVKu,,已完成 / Done,中 / Medium,2026-01-10 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
42,Task 41 Sk1hZa3O,Project PRJ_184_TI9,user_369_KaRA0,,待处理 / To Do,中 / Medium,2026-01-22 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
43,Task 42 WT4Rg8pP,Project PRJ_74_QNH,user_328_EYbEi,,待处理 / To Do,中 / Medium,2026-01-06 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
44,Task 43 MkTCKZQc,Project PRJ_131_WQZ,user_321_AW7Gr,,待处理 / To Do,中 / Medium,2026-01-09 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
45,Task 44 7VgjjOlO,Project PRJ_42_W0P,user_854_ENiiv,,待处理 / To Do,中 / Medium,2026-01-16 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
48,Task 47 i1aH0JKF,Project PRJ_182_MGE,user_222_w0AkK,,已完成 / Done,中 / Medium,2026-01-22 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
49,Task 48 cYFH2aJ8,Project PRJ_13_EPO,user_928_XTCV3,,已完成 / Done,中 / Medium,2026-01-08 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
50,Task 49 j03TSGhr,Project PRJ_57_CU7,user_163_MoYJL,,待处理 / To Do,中 / Medium,2026-01-19 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
51,Task 50 nYahybSK,Project PRJ_7_ZL8,user_345_SViwu,,已完成 / Done,中 / Medium,2026-01-19 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
52,Task 51 68HYGVBZ,Project PRJ_5_8YD,user_69_VuSvq,,待处理 / To Do,中 / Medium,2026-01-04 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
53,Task 52 VfzokDOp,Project PRJ_124_9RN,user_363_yPdNQ,,待处理 / To Do,中 / Medium,2026-01-19 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
54,Task 53 bPc7ZChn,Project PRJ_16_IZT,user_234_ZekvW,,进行中 / In Progress,中 / Medium,2026-01-28 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
55,Task 54 hkqypkB2,Project PRJ_125_YRS,user_78_GYp4M,,进行中 / In Progress,中 / Medium,2026-01-26 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
56,Task 55 419h0hDm,Project PRJ_15_FJI,user_328_EYbEi,,待处理 / To Do,中 / Medium,2026-01-20 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
57,Task 56 40lO8uuY,Project PRJ_4_NHA,user_717_UowbN,,待处理 / To Do,中 / Medium,2026-01-06 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
