ID,标题,项目,负责人,协作人,状态,优先级,截止时间,完成时间,创建时间,URL,内容
16,Task 15 lXGnDiTX,Project PRJ_85_SDW,user_590_ZoExp,,进行中 / In Progress,中 / Medium,2026-02-05 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
54,Task 53 bPc7ZChn,Project PRJ_16_IZT,user_234_ZekvW,,进行中 / In Progress,中 / Medium,2026-01-28 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
55,Task 54 hkqypkB2,Project PRJ_125_YRS,user_78_GYp4M,,进行中 / In Progress,中 / Medium,2026-01-26 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
88,Task 87 yO3FSMec,Project PRJ_60_YMQ,user_555_FHlra,,进行中 / In Progress,中 / Medium,2026-01-24 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
140,Task 139 RxILQVJb,Project PRJ_168_TTH,user_951_mPgDD,,进行中 / In Progress,中 / Medium,2026-02-01 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
181,Task 180 gtzaA9i8,Project PRJ_157_3W9,user_472_7GuBz,,进行中 / In Progress,中 / Medium,2026-01-25 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
186,Task 185 zasZ02H6,Project PRJ_84_8IE,user_358_CkZAE,,进行中 / In Progress,中 / Medium,2026-01-29 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
209,Task 208 azq74ads,Project PRJ_66_9OF,user_942_qwDQh,,进行中 / In Progress,中 / Medium,2026-01-25 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
231,Task 230 cKbOBs5L,Project PRJ_39_6GG,user_881_7WRwV,,进行中 / In Progress,中 / Medium,2026-01-28 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
313,Task 312 4hZgF1bX,Project PRJ_10_NWR,user_592_bw4ge,,进行中 / In Progress,中 / Medium,2026-01-28 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
381,Task 380 MIKP7J4v,Project PRJ_180_MBQ,user_442_AMdiw,,进行中 / In Progress,中 / Medium,2026-01-25 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
441,Task 440 lUmODBUo,Project PRJ_159_MZ5,user_228_JzwuI,,进行中 / In Progress,中 / Medium,2026-01-29 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
446,Task 445 WDPVCQos,Project PRJ_42_W0P,user_919_teXeS,,进行中 / In Progress,中 / Medium,2026-02-03 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
461,Task 460 Yk5h0s5E,Project PRJ_182_MGE,user_786_OZuhE,,进行中 / In Progress,中 / Medium,2026-01-25 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
463,Task 462 lSg7wxHj,Project PRJ_112_EF0,user_330_dhyUM,,进行中 / In Progress,中 / Medium,2026-01-27 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
482,Task 481 j4MqSST9,Project PRJ_87_XV3,user_794_GHWfc,,进行中 / In Progress,中 / Medium,2026-01-28 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
483,Task 482 mWJYVTu9,Project PRJ_176_T4O,user_110_xMwA0,,进行中 / In Progress,中 / Medium,2026-02-02 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
533,Task 532 Jp2jO2vz,Project PRJ_80_XZR,user_200_A4NG4,,进行中 / In Progress,中 / Medium,2026-02-01 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
554,Task 553 dGYkXOgV,Project PRJ_176_T4O,user_712_ibBOK,,进行中 / In Progress,中 / Medium,2026-01-24 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
602,Task 601 Ifse8IrL,Project PRJ_123_IEH,user_981_n11mj,,进行中 / In Progress,中 / Medium,2026-01-25 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
606,Task 605 9ugNhoSR,Project PRJ_147_DEZ,user_788_SuTQd,,进行中 / In Progress,中 / Medium,2026-02-04 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
